hiring_unit_id,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_2digit
60019533,_23,2015,0.0,1,0
60019533,_24,2013,0.0,1,0
60019533,_25,2012,0.0,1,0
60019533,_27,2017,0.0,1,0
60019533,_31,2012,0.0,1,0
60019616,_15,2016,0.0,1,0
60019616,_16,2015,0.0,1,0
60019616,_17,2012,0.0,1,0
60019616,_21,2015,0.0,1,0
60019616,_22,2011,0.0,1,0
60019616,_25,2011,0.0,1,0
60019616,_26,2016,0.0,1,0
60019616,_31,2011,0.0,1,0
60019706,_10,2017,1.0,1,1
60019706,_13,2015,1.0,1,1
60019706,_16,2011,0.0,1,0
60019706,_31,2015,0.0,1,0
60020044,_25,2012,0.0,1,0
60020256,_26,2017,0.0,1,0
60020258,_10,2016,0.0,1,0
60020258,_19,2017,0.0,1,0
60020258,_24,2017,0.0,1,0
60020258,_26,2016,0.0,1,0
60020620,_26,2013,0.0,1,0
60020675,_25,2015,0.0,1,0
60020675,_31,2016,0.0,1,0
60020745,_13,2013,0.0,1,0
60020745,_19,2017,0.0,1,0
60020745,_22,2017,0.0,1,0
60020745,_25,2016,0.0,1,0
60020745,_31,2015,0.0,1,0
60020870,_13,2012,0.0,1,0
60020870,_27,2015,0.0,1,0
60020880,_16,2017,0.0,1,0
60020880,_17,2013,0.0,1,0
60020880,_25,2013,0.0,1,0
60021016,_19,2012,0.0,2,0
60021016,_22,2013,0.0,1,0
60021016,_24,2015,0.0,1,0
60021170,_22,2012,0.0,1,0
60021170,_25,2015,0.0,1,0
60021170,_27,2013,0.0,1,0
60021170,_31,2012,0.0,1,0
60021182,_10,2013,0.0,1,0
60021182,_11,2012,0.0,1,0
60021182,_13,2012,0.0,1,0
60021182,_15,2017,0.0,1,0
60021182,_16,2012,0.0,1,0
60021182,_17,2015,0.0,2,0
60021182,_19,2015,0.5,2,0
60021182,_21,2017,0.0,1,0
60021182,_22,2015,0.0,1,0
60021182,_23,2015,0.0,1,0
60021182,_24,2015,0.0,1,0
60021182,_25,2012,0.0,1,0
60021182,_27,2015,0.0,4,0
60021182,_28,2016,1.0,1,1
60021182,_31,2013,0.0,1,0
60021182,_33,2013,0.0,1,0
60021182,_35,2015,0.0,1,0
60021200,_13,2015,0.0,1,0
60021200,_15,2015,0.0,1,0
60021200,_16,2016,0.0,1,0
60021200,_17,2015,0.0,1,0
60021200,_19,2017,0.0,1,0
60021200,_22,2016,0.0,1,0
60021200,_23,2015,0.0,1,0
60021200,_25,2015,0.0,1,0
60021200,_26,2015,0.0,1,0
60021200,_31,2013,0.0,2,0
60021227,_22,2013,0.0,1,0
60021227,_23,2011,0.0,1,0
60021449,_13,2015,0.0,1,0
60021449,_25,2013,0.0,1,0
60021449,_31,2012,0.0,2,0
60021474,_28,2015,1.0,1,1
60021615,_15,2012,0.0,1,0
60021666,_16,2015,0.0,1,0
60021666,_17,2017,0.0,1,0
60021666,_22,2012,1.0,1,1
60021666,_31,2017,0.0,2,0
60021836,_11,2011,0.0,1,0
60021836,_13,2015,1.0,1,1
60021843,_13,2012,0.0,1,0
60021843,_16,2015,0.0,1,0
60021843,_25,2017,0.0,1,0
60022281,_16,2011,0.0,1,0
60022281,_22,2012,1.0,1,1
60022345,_16,2017,1.0,1,1
60022381,_22,2015,0.5,2,0
60022381,_25,2016,0.0,1,0
60022381,_26,2016,0.0,1,0
60022381,_27,2011,0.0,1,0
60022414,_16,2016,0.0,1,0
60022414,_17,2017,1.0,1,1
60022414,_22,2011,0.0,1,0
60022414,_24,2017,0.0,1,0
60022414,_25,2013,0.0,1,0
60022422,_11,2015,0.0,1,0
60022422,_16,2011,0.0,1,0
60022422,_19,2017,0.0,2,0
60022598,_11,2012,0.0,1,0
60022598,_13,2012,0.0,1,0
60022598,_19,2013,1.0,1,1
60023237,_10,2015,1.0,1,1
60023237,_11,2017,0.5,2,0
60023237,_13,2012,0.0,1,0
60023237,_16,2011,1.0,1,1
60023237,_17,2016,0.0,1,0
60023237,_19,2011,0.0,1,0
60023237,_23,2012,0.0,2,0
