hiring_unit_id,subfield_most_frequent,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_4digit
60012223,_2205,_22,2015,0.0,1,0
60012627,_2102,_21,2012,0.0,1,0
60012820,_1500,_15,2017,0.0,1,0
60012820,_1600,_16,2017,0.0,1,0
60012820,_1900,_19,2015,0.0,1,0
60012820,_2500,_25,2012,0.0,1,0
60012820,_2504,_25,2015,0.0,1,0
60012820,_3100,_31,2012,0.0,1,0
60012820,_3104,_31,2012,0.0,1,0
60012879,_2302,_23,2017,0.0,1,0
60013156,_1000,_10,2017,0.0,1,0
60013156,_1311,_13,2017,1.0,1,1
60013156,_1312,_13,2015,1.0,1,1
60013156,_2406,_24,2015,0.0,1,0
60013268,_1907,_19,2015,0.0,1,0
60013551,_1105,_11,2017,0.0,1,0
60013551,_1110,_11,2012,0.0,1,0
60013551,_1307,_13,2012,0.0,1,0
60013551,_1311,_13,2013,0.0,1,0
60013551,_1404,_14,2016,0.0,1,0
60013551,_2103,_21,2016,0.0,1,0
60013551,_2208,_22,2013,0.0,1,0
60013551,_2304,_23,2015,0.0,1,0
60013551,_2312,_23,2016,0.0,1,0
60013551,_2403,_24,2013,0.0,1,0
60013614,_3107,_31,2017,0.0,1,0
60013625,_1000,_10,2015,0.0,1,0
60013625,_1300,_13,2012,0.0,1,0
60013625,_1307,_13,2011,0.0,2,0
60013625,_1312,_13,2015,0.0,1,0
60013625,_1906,_19,2011,0.0,1,0
60013625,_1910,_19,2013,0.0,1,0
60013625,_2303,_23,2012,0.0,1,0
60013625,_2403,_24,2011,0.0,1,0
60013625,_2505,_25,2011,0.0,1,0
60013625,_2800,_28,2013,0.0,1,0
60013625,_3004,_30,2013,0.0,1,0
60013789,_1600,_16,2013,0.0,1,0
60013789,_1700,_17,2013,0.0,1,0
60013789,_1712,_17,2013,0.0,1,0
60013789,_1902,_19,2015,0.0,1,0
60013789,_1908,_19,2013,0.0,1,0
60013789,_1909,_19,2015,1.0,1,1
60013789,_1912,_19,2017,0.0,1,0
60013789,_2205,_22,2013,0.0,1,0
60013789,_2207,_22,2015,0.0,1,0
60013789,_2208,_22,2013,0.0,1,0
60013789,_2210,_22,2016,0.0,2,0
60013789,_2211,_22,2012,1.0,1,1
60013789,_2500,_25,2011,0.0,1,0
60013789,_2504,_25,2012,1.0,1,1
60013789,_2600,_26,2016,0.0,1,0
60013789,_2611,_26,2013,0.0,1,0
60013789,_2731,_27,2015,0.0,1,0
60013789,_2741,_27,2017,0.0,1,0
60013789,_2746,_27,2013,0.0,1,0
60013789,_3100,_31,2017,0.0,1,0
60013789,_3103,_31,2017,1.0,1,1
60013789,_3104,_31,2015,0.0,1,0
60013789,_3106,_31,2013,0.0,1,0
60013789,_3107,_31,2013,1.0,1,1
60014070,_1311,_13,2017,0.0,1,0
60014070,_2700,_27,2017,0.0,1,0
60014157,_1902,_19,2013,0.0,1,0
60014157,_1912,_19,2013,0.0,2,0
60014205,_1912,_19,2012,0.0,1,0
60014205,_2500,_25,2013,0.0,1,0
60014205,_3103,_31,2012,0.0,1,0
60014277,_1110,_11,2012,0.0,1,0
60014277,_1300,_13,2017,0.0,1,0
60014277,_1307,_13,2015,0.0,1,0
60014277,_1311,_13,2013,0.0,1,0
60014277,_1312,_13,2015,0.0,1,0
60014402,_1600,_16,2011,0.0,1,0
60014402,_1602,_16,2012,0.0,1,0
60014402,_2308,_23,2015,1.0,1,1
60014402,_3104,_31,2012,1.0,1,1
60014466,_1606,_16,2015,0.0,1,0
60014466,_1900,_19,2017,0.0,1,0
60014466,_1909,_19,2016,0.0,1,0
60014466,_2304,_23,2015,0.0,1,0
60014466,_3100,_31,2015,0.0,1,0
60014643,_1000,_10,2016,0.0,1,0
60014643,_1600,_16,2015,0.0,1,0
60014773,_1110,_11,2013,1.0,1,1
60014773,_1605,_16,2013,0.0,1,0
60014773,_1906,_19,2012,0.0,1,0
60014773,_2200,_22,2017,0.0,1,0
60014773,_2303,_23,2012,0.0,1,0
60014773,_2312,_23,2011,0.0,1,0
60014966,_1000,_10,2012,0.0,1,0
60014966,_1110,_11,2015,0.0,1,0
60014966,_1111,_11,2015,0.0,1,0
60014966,_1300,_13,2011,0.0,1,0
60014966,_1303,_13,2012,0.3333333333333333,3,0
60014966,_1306,_13,2015,1.0,1,1
60014966,_1307,_13,2013,0.5,2,0
60014966,_1311,_13,2011,0.0,1,0
60014966,_1312,_13,2011,0.0,1,0
60014966,_1313,_13,2017,0.0,1,0
60014966,_1314,_13,2012,0.0,1,0
60014966,_1409,_14,2017,0.0,1,0
60014966,_1502,_15,2012,1.0,1,1
60014966,_1600,_16,2011,0.0,2,0
60014966,_1605,_16,2013,0.0,1,0
60014966,_1700,_17,2013,0.0,1,0
60014966,_1704,_17,2016,0.0,1,0
60014966,_1705,_17,2012,0.0,1,0
60014966,_1710,_17,2017,0.0,1,0
60014966,_1712,_17,2015,0.0,1,0
60014966,_1900,_19,2017,0.0,1,0
60014966,_1902,_19,2011,0.0,1,0
60014966,_1906,_19,2011,0.0,1,0
60014966,_1907,_19,2017,0.0,1,0
60014966,_1908,_19,2013,0.5,2,0
60014966,_1912,_19,2012,0.0,1,0
60014966,_2104,_21,2013,0.0,1,0
